std_smiles,CHEMBL1075317.csv,CHEMBL1163125.csv,CHEMBL1795116.csv,CHEMBL1829.csv,CHEMBL1865.csv,CHEMBL1937.csv,CHEMBL1993.csv,CHEMBL2157850.csv,CHEMBL2169716.csv,CHEMBL2185.csv,CHEMBL2189110.csv,CHEMBL2424504.csv,CHEMBL2563.csv,CHEMBL2971.csv,CHEMBL301.csv,CHEMBL3045.csv,CHEMBL3055.csv,CHEMBL308.csv,CHEMBL3105.csv,CHEMBL3142.csv,CHEMBL3192.csv,CHEMBL325.csv,CHEMBL3524.csv,CHEMBL3774295.csv,CHEMBL4036.csv,CHEMBL4145.csv,CHEMBL4630.csv,CHEMBL4722.csv,CHEMBL5024.csv,CHEMBL5406.csv,CHEMBL5747.csv,CHEMBL5776.csv,CHEMBL5921.csv,CHEMBL6032.csv,CHEMBL6136.csv,CHEMBL6175.csv
Cc1c(F)cccc1[C@@]1(C(O)=NO)C=C(c2ccccc2)CC1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
O=C(c1cccc(-c2cccc(OCC(O)CN3CCc4ccccc4C3)c2)c1)N1CCOCC1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(CN(C)C)NC(=O)c1ccc(Nc2nc3c(C4=CCN(C(=O)CCC(F)(F)F)CC4)cccn3n2)cc1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
CC(C)N1Cc2cc(Nc3nn([C@H]4CCCC[C@@H]4C#N)c4cc[nH]c(=O)c34)ccc2C1=O,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)c1ncc(CSc2cnc(NC(=O)Cc3ccccc3)s2)o1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Cn1ccc(-c2[nH]nc3c2C(=O)c2c(NC(N)=O)cccc2-3)c1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
CCS(=O)(=O)c1cc(-c2cn(C)c(=O)c3ccccc23)c(OCC2CC2)cn1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=c1c(F)cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
CO[C@@H](c1ccc(Nc2nn(C3(CC#N)CCN(C(=O)OC(C)(C)C)CC3)c3cc[nH]c(=O)c23)cc1)C(F)(F)F,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
CCCNC(=O)O[C@@H]1CCC(c2cc(NC(=O)c3ccc(C)nc3C)[nH]n2)C1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
COc1ccc(-c2nc3c(n2C)C(=O)N(c2cc(C)c(=O)n(C)c2)[C@@H]3c2ccc(Cl)cc2)cn1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
N#CC[C@@H](C1CC1)n1nc(Nc2ccc(S(=O)(=O)N3CCOC4CCC[C@H]43)cc2)c2c(=O)[nH]ccc21,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
N#CCC(C1CCOCC1)n1cc(C(N)=O)c(Nc2ccccc2)n1,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
