columns
CHEMBL1075317
CHEMBL1163125
CHEMBL1795116
CHEMBL1829
CHEMBL1865
CHEMBL1937
CHEMBL1993
CHEMBL2157850
CHEMBL2169716
CHEMBL2185
CHEMBL2189110
CHEMBL2424504
CHEMBL2563
CHEMBL2971
CHEMBL301
CHEMBL3045
CHEMBL3055
CHEMBL308
CHEMBL3105
CHEMBL3142
CHEMBL3192
CHEMBL325
CHEMBL3524
CHEMBL3774295
CHEMBL4036
CHEMBL4145
CHEMBL4630
CHEMBL4722
CHEMBL5024
CHEMBL5406
CHEMBL5747
CHEMBL5776
CHEMBL5921
CHEMBL6032
CHEMBL6136
CHEMBL6175
CHEMBL1275221
CHEMBL1293232
CHEMBL1293289
CHEMBL1795117
CHEMBL1795186
CHEMBL1938212
CHEMBL2069156
CHEMBL2163176
CHEMBL2189117
CHEMBL2468
CHEMBL2716
CHEMBL2996
CHEMBL3108639
CHEMBL3108640
CHEMBL3132741
CHEMBL3217390
CHEMBL3310
CHEMBL3476
CHEMBL3714029
CHEMBL3784
CHEMBL3797
CHEMBL4045
CHEMBL4237
CHEMBL4461
CHEMBL4462
CHEMBL4506
CHEMBL4896
CHEMBL5103
CHEMBL5891
CHEMBL5896
CHEMBL6031
