SMILE,ETP,AMGC
ON=C(O)/C=C/c1ccc(CNCC2CCCCC2)cc1,APEX1,HDAC6
,ATM,HDAC3
,BRD4,KDM5B
,EHMT2,HDAC1
,HDAC10,HDAC10
,HDAC11,HDAC11
,HDAC3,LOXL2
,HDAC4,MAP3K7
,HDAC5,HDAC8
,HDAC6,PARP1
,HDAC8,PHF8
,HDAC9,KDM5C
,KDM1A,MGEA5
,KDM4E,AURKB
,PKN1,HDAC2
,PRKDC,DOT1L
,,HDAC5
,,PRKCB
,,SMN2
,,CREBBP
,,CECR2
